Q31	country in western Europe
Q739657	British band
Q740241	city and urban gmina of Poland
Q740564	Portuguese parliament
Q740844	Russian domestic airline
Q741376	Swedish public TV station
Q742854	city in the region of Central Finland
Q743236	municipality in Flemish Brabant, Belgium
Q743622	diocese of the Catholic Church
Q744374	traditional method of weather prediction
Q744390	train service
Q746228	2009 action-adventure game
Q746359	companies and individuals that create and sell music and make money off of sales
Q746731	diocese of the Catholic Church
Q747333	Traditional political party in Colombia
Q748513	city in the region of Uusimaa in Finland
Q748617	political party
Q748696	sea
Q748797	town in Hungary
Q748987	Railway line of Beijing Subway
Q749118	US federal government agency
Q750407	town in Slovakia
Q750573	city in Kyoto Prefecture, Japan
Q750587	city in Fukushima Prefecture, Japan
Q751289	university
Q751425	French high-speed railway
Q753072	award
Q753181	railway line
Q753749	2010 action role-playing video game
Q753949	city in Kansas, USA
Q754197	American legal drama television series (1996-2005)
Q754199	national association football team
Q756100	Server-side JavaScript framework
Q756110	association football club
Q756326	railway line
Q757110	association football club in Slovakia
Q757462	association football club
Q757783	region of Madagascar
Q758610	national Dutch documentation center of art history
Q760736	association football club
Q761583	Israeli association football club based in Kfar Saba
Q762347	metro line in Kyoto, Kyoto prefecture, Japan
Q766513	scientific journal
Q766616	Slovenian railway company
Q767221	Canadian television network
Q768261	municipality and city in Portugal
Q769222	video streaming site
Q769961	Chess competition
Q771986	town and community in Monmouthshire, Wales, UK
Q772988	Stadium in Doha, Qatar
Q774171	diocese of the Catholic Church
Q775159	programming language
Q775966	Argentine sports club
Q777403	university in St. Louis, Missouri, United States
Q780528	Japanese video game company
Q786280	university
Q791604	association football club
Q795345	former stadium at Atlanta, Georgia, USA
Q795988	university in Ontario, Canada
Q802090	railway line
Q802818	railway line in Bavaria
Q802978	railway line
Q803643	association football club
Q803722	Chinese web-based encyclopedia
Q804561	Romania's largest airline by passengers carried
Q805787	regional command of the Russian (and formerly Soviet) Navy
Q806191	bank of the Medici family
Q806208	Mexico's central bank
Q806551	town in Northern Ireland, United Kingdom
Q808535	city in Massachusetts
Q809585	city and urban gmina of Poland
Q809683	Professional ice hockey team in Kazakhstan
Q809825	central database maintained by the French Ministry of Culture
Q810437	Japanese anime television series
Q810700	theatre in the 11th arrondissement of Paris, France
Q810987	Japanese manga series
Q812127	association football club
Q812779	association football club
Q814779	rare book library at Yale University in New Haven, Conneticut
Q815432	private university centered in Tokyo, Japan
Q816145	university
Q817481	town in West Yorkshire, UK
Q817496	science and engineering award presented by the Franklin Institute
Q818601	municipality of Spain
Q818698	Velež Mostar Football Club
Q819042	5th season of the Bundesliga
Q819603	city in Fukuoka Prefecture, Japan
Q819639	city in Gifu prefecture, Japan
Q820240	municipality of Córdoba (Spain)
Q820892	museum in Paris, France
Q821275	international airport in Delhi, India
Q822722	Scottish football club
Q822919	parliament of Latvia
Q823384	association football club
Q823896	city in Ishikawa Prefecture, Japan
Q826130	municipality on Voorne-Putten Island in the western Netherlands, in the province of South Holland
Q826751	baseball team and Major League Baseball franchise in Cincinnati, Ohio, United States
Q827000	television station
Q828782	city in Argentina
Q830771	manga series
Q830826	Association Football League
Q831227	University in China
Q833218	air warfare branch of Spain's armed forces
Q833961	university in Beijing, China
Q834082	university in Hong Kong
Q835108	municipality in the Netherlands
Q835125	municipality of the Netherlands
Q835366	University in Guangdong, China
Q836298	1976 horror film.
Q837956	association football club
Q838112	city in West Virginia
Q838330	public research university in Madison, Wisconsin, USA
Q838663	city in Ibaraki prefecture, Japan
Q838669	city in Nara Prefecture, Japan
Q838675	city in Ibaraki Prefecture, Japan
Q839003	municipality in the state of Sergipe, Brazil
Q839091	Japanese manga series
Q840308	Playstation video game
Q840402	airline company
Q840427	sea
Q840460	former municipality of the Netherlands
Q840598	city in Ibaraki Prefecture, Japan
Q840610	city in Yamanashi Prefecture, Japan
Q840636	municipality in Friesland, the Netherlands
Q840888	city in Nagano prefecture, Japan
Q841129	city in Nagano Prefecture, Japan
Q841584	railway line in Tokyo, Japan
Q841979	town in Nottinghamshire, England
Q842118	television series
Q842146	2012 first-person shooter video game
Q842879	Japanese passenger transportation company
Q843014	town in Hungary
Q843294	company
Q843957	company
Q844056	city in Gifu Prefecture, Japan
Q844133	city in Ibaraki Prefecture, Japan
Q844798	commune in Gard, France
Q844852	city in Nagano Prefecture, Japan
Q844972	American television network
Q845176	1967 film by Sergei Bondarchuk
Q845537	registered political party in Finland
Q845617	American publisher
Q845623	town in Somerset, England
Q845772	football club
Q845800	city in Miyazaki Prefecture, Japan
Q845851	city in Ibaraki Prefecture, Japan
Q846044	city in and county seat of Buffalo County, Nebraska, United States
Q846345	city in Ishikawa Prefecture, Japan
Q846501	railway line in Gunma prefecture, Japan
Q846524	railway line
Q847164	archdiocese
Q847225	Spanish bank owned by La Caixa Foundation
Q847438	2009 video game and anime directed by Shinji Ushiro
Q847451	umbrella organisation for major junior hockey in Canada
Q847771	Railway line of Beijing Subway
Q848642	association football club
Q848999	city and urban gmina of Poland
Q849139	association football club in Belgium
Q849271	association football club
Q849751	university in Toronto, Ontario, Canada
Q850366	city in Ōita Prefecture, Japan
Q850524	city in Niigata prefecture, Japan
Q850527	city in Shizuoka Prefecture, Japan
Q851818	Danish-Canadian computer-animated television series
Q852033	association football club in Perth, Western Australia
Q852314	railway line in Yokohama, Kanagawa prefecture, Japan
Q853056	ice hockey team based in Magnitogorsk, Chelyabinsk Oblast, Russia
Q853805	city in Gifu Prefecture, Japan
Q855401	association football club
Q855684	1992 edition of the Summer Paralympics
Q855809	association football club
Q856338	medical journal
Q857272	city in Nagano Prefecture, Japan
Q857938	Turkish football club
Q858352	City in Kagoshima Prefecture, Japan
Q858357	city in Chiba Prefecture, Japan
Q858384	Japanese manga series by Naoki Urasawa
Q858633	Australian rules football club based in Melbourne, Victoria, Australia
Q858808	stratovolcano in Chile
Q860057	1922 unique aircraft carrier of the United States Navy
Q860278	Japanese University in Shibuya-ku, Tokyo
Q860291	1996 video game
Q860812	art museum in Montreal, Quebec, Canada
Q861252	art museum in Barcelona
Q861262	city in Kumamoto Prefecture, Japan
Q861283	city in Miyazaki Prefecture, Japan
Q861690	Currency of several West African countries
Q862733	city in the U.S. state of Ohio
Q862851	association football club in Ahvaz, Iran
Q863096	architectural structure
Q863741	city in Okayama Prefecture, Japan
Q863769	website providing baseball statistics
Q864177	1991 puzzle-platformer video game
Q864339	home venue of the Miami Dolphins
Q864345	political party
Q864387	cemetery
Q864518	2014 film by José Padilha
Q864879	public university in Shanghai, China
Q865444	former commune in Côtes-d'Armor, France
Q865716	town in north-east Worcestershire, England
Q865720	reserve association football team in Germany
Q866120	1939 film by Frank Capra
Q866841	diocese of the Catholic Church in Quebec, Canada
Q866855	diocese of the Catholic Church
Q866881	diocese of the Catholic Church
Q866914	diocese of the Catholic Church
Q866917	Catholic diocese in England
Q866942	diocese of the Catholic Church
Q866943	manga
Q866953	diocese of the Catholic Church
Q866954	diocese of the Catholic Church
Q867173	diocese of the Catholic Church
Q867221	diocese of the Catholic Church
Q867409	diocese of the Catholic Church
Q867536	diocese of the Catholic Church
Q867543	diocese of the Catholic Church
Q867646	diocese in England
Q867672	diocese of the Catholic Church
Q867681	diocese of the Catholic Church
Q867691	earthquake
Q867825	diocese in western North Carolina, USA
Q867921	association football club based in Livingston, Scotland
Q868072	diocese of the Catholic Church
Q868102	diocese of the Catholic Church in Honduras founded in 1963
Q868148	diocese of the Catholic Church
Q868212	diocese of the Catholic Church
Q868300	diocese of the Catholic Church in Australia
Q868494	diocese of the Catholic Church
Q868582	association football club in San José
Q868660	city in and the county seat of Ulster County, New York, United States
Q868767	Catholic diocese in the U.S. state of Indiana
Q868788	diocese of the Catholic Church
Q868882	diocese of the Catholic Church
Q868918	diocese of the Catholic Church in Italy
Q869234	diocese of the Catholic Church
Q869254	diocese of the Catholic Church
Q869260	diocese of the Catholic Church
Q869446	Diocese of the Church of England
Q869571	city in the Brazilian state of Rio Grande do Sul
Q869780	diocese of the Catholic Church
Q869937	diocese of the Catholic Church
Q870237	diocese of the Catholic Church in the Philippines
Q870547	diocese of the Catholic Church
Q870758	diocese of the Catholic Church
Q870846	diocese of the Catholic Church
Q870984	diocese of the Catholic Church
Q871157	railway line in Kumamoto prefecture, Japan
Q871254	Roman Catholic diocese in Chile
Q871418	diocese of the Catholic Church
Q871484	diocese of the Catholic Church
Q871604	diocese of the Catholic Church
Q871606	diocese of the Catholic Church
Q871832	diocese of the Catholic Church
Q872094	diocese of the Catholic Church
Q872186	airport in Luxembourg
Q872280	diocese of the Catholic Church
Q872324	diocese of the Catholic Church
Q872967	diocese of the Catholic Church
Q873268	diocese of the Catholic Church
Q873288	diocese of the Catholic Church
Q873405	capital city of La Guaira state, Venezuela
Q873521	city in Chiba prefecture, Japan
Q873561	diocese of the Catholic Church
Q873565	city in Saitama Prefecture, Japan
Q873572	city in Ōita Prefecture, Japan
Q874056	railway line in Japan
Q874066	diocese of the Catholic Church
Q874237	diocese of the Catholic Church
Q874347	diocese of the Catholic Church
Q874598	diocese of the Catholic Church
Q874866	diocese of the Catholic Church
Q874882	diocese of the Catholic Church
Q874966	diocese of the Catholic Church
Q874969	Roman Catholic Diocese of Richmond, United States of America
Q875169	Dutch association football club
Q875393	diocese of the Catholic Church
Q875554	English diocese of the Catholic Church
Q875566	diocese of the Catholic Church
Q875657	diocese of the Catholic Church
Q875982	catholic diocese in Victoria, Australia
Q876282	diocese of the Catholic Church
Q876490	maglev high-speed rail line in Japan that is under construction
Q876525	diocese of the Catholic Church
Q876613	diocese of the Catholic Church
Q876681	diocese of the Catholic Church
Q876762	diocese of the Catholic Church
Q877208	diocese of the Catholic Church
Q877311	diocese of the Catholic Church
Q877587	diocese of the Catholic Church
Q877684	diocese of the Catholic Church
Q877689	city in Kōchi Prefecture, Japan
Q877947	diocese of the Catholic Church
Q878085	diocese of the Catholic Church
Q878357	diocese of the Catholic Church
Q878669	diocese of the Catholic Church
Q881797	Japanese manga series
Q889423	municipality in the Netherlands
Q889618	city of Ukraine
Q889888	town and civil parish in Cornwall, England
Q894605	association football club in Boston, England
Q898902	weekly scientific journal published since 1879
Q898967	journal
Q899310	railway line in Tokushima prefecture, Japan
Q899394	railway line in Hiroshima prefecture, Japan
Q899509	railway line in Japan
Q900502	journal
Q901005	railway line owned by Meitetsu in Japan's Chubu region
Q901085	rail line owned by Kintetsu in Japan
Q901405	theme park simulation video game
Q902496	television series
Q904544	municipality in Gelderland the Netherlands
Q908156	metro line in Sendai, Miyagi prefecture, Japan
Q909044	company
Q909993	town and the principal settlement of the Borough of Brentwood in England
Q912014	municipality in Flemish Brabant, Belgium
Q912887	publishing business of the University of Cambridge
Q913406	city in Uzbekistan
Q913672	modern art museum in San Francisco, California, USA
Q914000	town and civil parish in Shropshire, United Kingdom
Q914016	crater on Mars
Q914255	13th rione of Rome, Italy
Q917211	political party in Slovenia
Q918153	Sri Lankan British Crown colony
Q918420	election
Q918508	General election in the United Kingdom
Q920646	town in West Sussex, England
Q921267	American rock band
Q921326	town and civil parish in Devon, England
Q921699	political party
Q922589	skyscraper in the City of London, London, England
Q922707	French political party
Q922724	political party
Q922739	coastal town on the Isle of Thanet in the Thanet district of east Kent, England
Q923337	state railway transport company
Q924049	city and urban gmina of Poland
Q924091	town in South Holland, Netherlands
Q925648	association football team from People's Republic of China
Q925917	battle
Q926729	municipality of Brazil
Q927765	North American college athletics association
Q928874	2002 theme park simulation video game
Q930528	Italian university
Q930790	political party from Colombia
Q930795	palace in Haiti
Q931704	association football club in Greece
Q933480	town in the Czech Republic
Q934022	regional command of the Russian (and former Soviet) Navy
Q934135	city in Chemung County, New York, USA
Q934473	borough of Bratislava (Slovakia)
Q934724	association football league
Q934983	Scottish regional airline
Q935018	university
Q935025	underground railway in London
Q935858	municipality in the region of Uusimaa in Finland
Q935956	professional association football club based in Zaporizhzhia, Ukraine
Q935969	company
Q936263	town in Hampshire, England
Q939021	political party in Colombia
Q939838	commuter town situated in West Kent, England
Q940664	video game
Q940919	public university in Orem, Utah, United States
Q941385	district of Barcelona
Q943775	city in North Carolina, United States
Q945113	archdiocese
Q945730	Japanese manga and anime series
Q946795	2003 video game
Q947226	association football club
Q947404	city and urban gmina of Poland
Q947799	Japanese anime television series
Q949833	municipality of Pernambuco State, Brazil
Q951206	archdiocese
Q951384	video game
Q952206	municipality of the Netherlands
Q953081	city in the region of Pirkanmaa in Finland
Q954010	Portuguese political party
Q954035	University in Bradford, United Kingdom
Q954808	town in South Bohemia, Czeh Republic
Q955162	archdiocese
Q955803	archdiocese
Q956056	private university in Lexington, Kentucky, United States
Q957626	archdiocese
Q959524	Private university in Milan, Italy
Q959993	diocese of the Catholic Church
Q961290	London Underground line
Q961604	town in Ōsato district, Saitama prefecture, Japan
Q962161	2005 anime series
Q963303	political union agreement sixteenth century
Q963354	one of the United States' four secretive tier-one counter-terrorism and Special Mission Units
Q965172	municipality in the region of Tavastia Proper in Finland
Q966943	large depression in western United States
Q967759	political party
Q967920	town in Agatsuma district, Gunma prefecture, Japan
Q968667	ballistic missile submarine
Q968876	award
Q973542	political party
Q974705	women's professional WNBA basketball team
Q977781	university located in Malmö, Sweden
Q979470	former French department (1790-1968)
Q980728	town in Veere, Netherlands
Q983886	city
Q984377	city in Kentucky, USA
Q984858	city in the region of Central Finland
Q984930	municipality in the region of Lapland in Finland
Q985578	university
Q985656	city and urban gmina of Poland
Q986578	city in the region of Satakunta in Finland
Q986984	city of Poland
Q987069	2007 Japanese original video animation
Q987745	county town near Dublin in Ireland
Q988179	city of Poland
Q988280	municipality in the region of Päijänne Tavastia in Finland
Q989903	city in Mesa County, Colorado, United States
Q990109	town and civil parish in County Fermanagh, Northern Ireland
Q990403	municipality and city in Portugal
Q990430	architectural structure
Q990465	city in Fukuoka Prefecture, Japan
Q990716	city in Ecuador, capital of the Manabí Province
Q991032	city in Nagasaki Prefecture, Japan
Q991055	town and community in Pembrokeshire, Wales
Q991355	city in Louisiana, United States
Q992046	Latvian political party
Q993765	association football league
Q995533	city in and county seat of Monroe County, Michigan, United States
Q997469	town and administrative center of Mohyliv-Podilskyi Raion in Vinnytsia  region, Ukraine
Q999453	city in Nagasaki Prefecture, Japan
Q1000056	town in the Pilsen Region of the Czech Republic
Q1000069	town in the Czech Republic
Q1000086	town in the Liberec Region of the Czech Republic
Q1000104	award
Q1001134	resort town in South Carolina, USA
Q1001297	city and urban gmina of Poland
Q1001942	county town of Rutland in the East Midlands of England
Q1004318	2011 film by Kazuya Murata
Q1004666	province of Iran
Q1004838	town and former municipality in Finland, now part of Raseborg
Q1006355	human settlement
Q1006668	city in Nassau County, New York
Q1008686	municipality in the Czech Republic
Q1008737	municipality in the Czech Republic
Q1008765	town in Lancashire, England
Q1009048	district of Tallinn
Q1009095	town in the Czech Republic
Q1009622	municipality in the region of South Karelia in Finland
Q1010131	small town in the Moravian-Silesian Region of the Czech Republic
Q1010203	city in and county seat of Sumter County, South Carolina, United States
Q1011073	county-level city, in Liaoning, China
Q1011435	city of Ukraine
Q1012004	Domain Name System service offered by Google
Q1014283	earthquake
Q1014298	canal in Tokyo, Japan
Q1014432	Japanese band (1956-)
Q1015823	county-level city
Q1017129	city in the region of Finland Proper
Q1017247	town in the Czech Republic
Q1018133	town in Hampshire, England
Q1018341	municipality in the Czech Republic
Q1018540	district and former municipal burgh in Scotland
Q1021080	town in the Czech Republic
Q1024338	association football club
Q1024341	association football club
Q1024911	town in Powys, Wales, UK
Q1025119	central bank
Q1025821	town in Wales
Q1026831	private university in Thousand Oaks, California
Q1026932	university
Q1034312	former rocket launch site in Florida, USA
Q1034646	cable television network
Q1043431	annual film festival held in Tokyo, Japan
Q1044197	1934 unique aircraft carrier of the United States Navy
Q1045889	1991 Japanese animated film directed by Isao Takahata
Q1046367	association football club
Q1046777	political party in Iceland
Q1046959	2009 manga
Q1048762	human settlement in Almería Province, Andalusia, Spain
Q1049033	modern art museum on the Grand Canal in Venice
Q1049334	engineer formation of the United States Army
Q1049470	public research university in Waterloo, Ontario, Canada
Q1049511	Facebook-owned mobile instant messenger and social media service
Q1050862	Swiss low-cost airline
Q1051695	musical
Q1051738	surface-to-air missile
Q1051895	2010 anime
Q1052208	university
Q1052846	2003 anime
Q1053668	Argentine Peronist political party
Q1054520	railway line in Japan
Q1054844	Japanese video game developer and publisher
Q1054905	university in  Baltimore, Maryland, United States
Q1055893	visual novel
Q1055899	mountain in Aysén Province' Chile
Q1056373	US university providing education for deaf and hard of hearing students
Q1058424	volcano in Peru
Q1058469	2004 film by Mamoru Oshii
Q1059183	Japanese private entertainment conglomerate, record company
Q1059430	association football club
Q1059484	association football club founded in 1958
Q1062259	association football club
Q1063119	1996 action role-playing game
Q1063195	Torre Madrid
Q1063573	bimonthly American magazine
Q1066118	metro line in Osaka, Osaka prefecture, Japan
Q1066334	2008 Canadian police procedural crime drama television series
Q1066835	newspaper published in New York City from 1860 until 1931
Q1066948	1995 film by Mamoru Oshii
Q1067916	higher education institution in Okayama Prefecture, Japan
Q1068328	1930 American film
Q1069175	humanitarian organization
Q1069409	grenade launcher
Q1069423	university
Q1069497	2003 expansion video game to Command & Conquer: Generals
Q1070311	political party in Luxembourg
Q1070333	public research university in Fayetteville, Arkansas, USA
Q1070560	defunct American Class I railway
Q1070673	region of Ethiopia
Q1071501	British television series
Q1071738	Higher education institution in Chiba Prefecture, Japan
Q1071919	1999 fighting video game
Q1072438	Argentine electoral alliance
Q1072835	railway line in Japan
Q1074117	research university in Haidian District, Beijing, China
Q1074249	archdiocese
Q1074601	Catholic archdiocese in Venezuela
Q1075563	archdiocese
Q1075585	archdiocese in Venezuela
Q1076273	badminton championships
Q1076562	political party
Q1077275	lake in Tottori and Shimane prefecture, Japan
Q1089546	popular Chinese green tea
Q1093383	Indonesian low-cost airline
Q1108255	British digital television channel
Q1112515	university in Canada
Q1113680	diocese of the Catholic Church
Q1115878	university in Richmond, Virginia
Q1116724	1999 real-time strategy computer game
Q1120519	journal
Q1122340	Volcano in Liberia, Guanacaste, Costa Rica
Q1122514	archdiocese
Q1122595	museum in Chicago, Illinois, United States
Q1122797	political party in Ukraine
Q1126102	neo-fascist and post-fascist political party in Italy
Q1127218	national constitutional ruling body of France
Q1129944	AeroRepública S.A., operating as Copa Airlines Colombia, is an airline based in Bogotá, Colombia
Q1130264	municipality in Skåne County, Sweden
Q1130376	Mexican football cup competition that was established in 1907
Q1134372	2007 Japanese anime film directed by Takahiro Imamura
Q1135593	Elected body that scrutinises the Mayor of London
Q1136919	public research university in Ames, Iowa, United States
Q1137202	island in the South Atlantic
Q1137314	wildlife area in the Lapland province in northern Sweden
Q1137447	Japanese manga series
Q1137665	Dutch-speaking university in Belgium
Q1138000	American sitcom television series (2009-2018)
Q1138191	association football club in Israel
Q1138250	Japanese boy band
Q1139440	town in Devon, UK
Q1139541	airline in the United States
Q1140152	revolutionary state that declared its independence from Great Britain (UKGBI); 1919-1922
Q1140282	association football club in Townsville, Australia
Q1140598	association football club of Singapore
Q1141262	twin towers in Madrid, Spain
Q1141963	1997 video game
Q1142076	Japanese anime television series
Q1142239	Bolivian political party
Q1142255	supreme court
Q1143226	university
Q1143524	historical Chinese country (550-577) during the Northern and Southern dynasties period (420-589)
Q1143722	museum in Figueras, Catalonia, Spain dedicated to Salvador Dalí, built by converting a theatre
Q1143779	NHS hospital in London, England
Q1145907	Future solar eclipse
Q1147063	public central university in New Delhi, India
Q1147955	airline
Q1148210	higher education institution in Tottori Prefecture, Japan
Q1149704	commune in Ardennes, France
Q1149762	Iranian Full Service Airline
Q1149777	university
Q1150302	airline
Q1151045	Higher education institution in Shizuoka Prefecture, Japan
Q1152190	private university in Kyoto, Japan
Q1152752	political party
Q1152847	British retail and commercial bank
Q1152922	military academy
Q1153941	guerrilla movement and political party in Ethiopia
Q1154245	Japanese music label
Q1154265	video game series
Q1154800	railway line in Japan
Q1155260	Japanese publishing company
Q1155836	cricket ground in Kennington, South London
Q1156749	winter sporting event held in Trentino
Q1157046	Higher education institution in Fukushima Prefecture, Japan
Q1157658	mountain in Hokkaido, Japan
Q1160192	political party in Flanders/Belgium
Q1165193	diocese of the Catholic Church
Q1168094	2001 video game
Q1180978	university in Victoria, Australia
Q1183933	transport company
Q1184979	Japanese publising company
Q1185348	political party in China
Q1187416	American drama television series
Q1188274	railway company
Q1188923	privately–owned French language television network in Canada
Q1189545	cargo airline operating as part of TAM Cargo
Q1190547	island in the United States of America
Q1190876	town in Worcestershire, Britain
Q1191042	museum
Q1191681	Japanese manga series
Q1191683	association football club
Q1192619	Japanese national university
Q1192755	association football club
Q1194456	American entertainment company
Q1194511	railway line in Kanagawa prefecture, Japan
Q1194988	public university in Paris, France
Q1195495	application
Q1195814	higher education institution in Saga Prefecture, Japan
Q1195840	1998 film directed by Kan Fukumoto and Shigenori Kageyama
Q1196470	Suspension bridge that crosses the Strait Kanmon Strait and unites the islands of Honshū and Kyūshū of Japan.
Q1196530	Japanese transportation company
Q1200079	United States government New Deal agency (1935–1943) employing millions of unemployed people to carry out public works projects
Q1201014	1984 video game
Q1202622	anime
Q1202871	Buddhist temple in Kyoto, Japan
Q1204468	town in Shimotakai district, Nagano prefecture, Japan
Q1206683	2010 fighting video game
Q1209761	baseball league
Q1210045	college in Pennsylvania
Q1215658	municipality in Nordland county, Norway
Q1218488	university in Spain
Q1224715	computer science bibliography website hosted in Germany
Q1230929	district of Tallinn
Q1231433	university
Q1234747	town and civil parish in Gloucestershire, United Kingdom
Q1246441	municipality of Spain
Q1257626	association football club in Montenegro
Q1265274	baseball team
Q1265836	programming language
Q1267306	district of Odisha, India
Q1269080	association football club
Q1269086	association football club
Q1269120	association football club
Q1269122	association football club
Q1269552	parliament in revolutionary Ireland (1919-1922)
Q1273188	French university located in Toulouse, France. Created in 1969
Q1277776	public research university in Greenville, North Carolina, United States
Q1278780	university in Australia
Q1281480	Bangladeshi political party
Q1285252	university in Anchorage, Alaska, United States
Q1296697	association football club
Q1303631	town in Yoshida district, Fukui prefecture, Japan
Q1305319	play
Q1306915	university
Q1307019	Italo-Albanian Church
Q1313394	municipality in the province of Jaén, Spain
Q1314517	Japanese manga series
Q1315012	mountain in Iceland
Q1318240	Lebanese association football club
Q1318537	Japanese visual novel series
Q1319318	Australia low-cost airline
Q1319864	Fijian airline
Q1320197	theater
Q1320603	political party in Singapore
Q1322278	repository of ancient manuscripts and documents in Armenia
Q1322641	French television channel
Q1322897	political party in Brazil
Q1323373	association football club in Serbia
Q1323547	Japanese television network
Q1325164	television station
Q1326478	metro line of the Shanghai Metro
Q1327441	transport company
Q1329141	Bridge across the seine in Paris
Q1332217	diocese of the Catholic Church
Q1335466	lake and Site of Special Scientific Interest in Wales
Q1337011	Turkish public broadcasting station
Q1338812	Manga and anime franchise
Q1341104	Irish association football club
Q1342155	association football club in Japan
Q1345594	town in Ito district, Wakayama Prefecture, Japan
Q1346121	association football club
Q1347872	municipality in the province of Groningen, the Netherlands
Q1348471	municipality of the Netherlands
Q1351438	defunct soccer league and highest level of women's soccer in the United States
Q1357891	private liberal arts college located in Middlebury, Vermont in the United States
Q1359740	anime series
Q1361045	A non-profit organization that promotes Wi-Fi technology and certifies Wi-Fi products
Q1362849	roman catholic metropolitan archdiocese in the United States of America
Q1363971	archdiocese
Q1363991	archdiocese
Q1364036	archdiocese in Peru
Q1364038	archdiocese
Q1364088	archdiocese
Q1364195	archdiocese
Q1364218	archdiocese
Q1364265	archdiocese of the Catholic Church in the Philippines
Q1364294	archdiocese
Q1364327	archdiocese of the Catholic Church in the Philippines
Q1364341	archdiocese
Q1364360	archdiocese
Q1364606	archdiocese
Q1364778	archdiocese
Q1364874	archdiocese of the Catholic Church
Q1365030	archdiocese of the Catholic Church
Q1365178	archdiocese in Nigeria
Q1365313	archdiocese
Q1365358	Hong Kong low-cost airline
Q1365378	Roman Catholic Archdiocese in Canada
Q1365397	diocese of the Roman Catholic church in France
Q1365421	archdiocese
Q1365441	Roman Catholic Archdiocese in Canada
Q1365460	archdiocese
Q1365531	Latin Metropolitan Archdiocese in the Dominican Republic
Q1365554	roman catholic metropolitan archdiocese in Spain
Q1365579	roman catholic metropolitan archdiocese in Spain
Q1365662	Roman Catholic Archdiocese in Brazil
Q1365835	archdiocese
Q1365853	Roman Catholic Archdiocese in Brazil
Q1369534	Australian defunct airline
Q1371594	former United States professional baseball leagues
Q1371726	2014 action-adventure video game developed by Ubisoft Montreal and published by Ubisoft
Q1372406	airline
Q1378284	city in New York, USA
Q1379621	city in New York, USA
Q1379834	university
Q1389125	association football club in Serbia
Q1391755	Belgian university
Q1394554	association football league
Q1398385	journal
Q1398696	railway opened on 15 September 1830 between the Lancashire towns of Liverpool and Manchester
Q1414861	public research university located in Exeter, United Kingdom
Q1420233	airport near Hartford, Connecticut, USA
Q1423677	public university in Queensland, Australia
Q1429493	U.S. professional basketball league 1937 to 1949, co-creator of the National Basketball Association by merger
Q1430823	political party of Uruguay
Q1434796	city in New South Wales, Australia
Q1435379	Brazilian daily newspaper
Q1435460	political party
Q1436699	university
Q1437400	highspeed railway tunnel in western Bas-Rhin, France
Q1439193	city and municipality in Espírito Santo, Brazil
Q1439629	American private university in Rhode Island
Q1440764	WWII battle in the Pacific Theatre
Q1441320	municipality of Zamora Province, Spain
Q1441481	annual film festival held in Turin, Italy
Q1442348	Colombian municipality of the department of Cundinamarca
Q1453196	city in Bihar state, India
Q1453540	legislature of Massachusetts
Q1458113	university in Victoria, British Columbia
Q1466001	Catholic university near Philadelphia, Pennsylvania
Q1466666	university
Q1468648	neighborhood and historic district in Washington, D.C.
Q1470791	town in Cheshire, England, United Kingdom
Q1472511	Sweden's principal government institution in charge of statistics and census data
Q1472697	former women's basketball team
Q1473615	public research university in Kent, Ohio, United States
Q1473764	United States Class I railroad (1865–1996)
Q1474624	university
Q1475020	private liberal arts college in Greenville, South Carolina, United States
Q1476484	university
Q1477038	League of the Rhineland Football Association
Q1477177	1934 edition of the FIFA World Cup
Q1480421	government university located in Dhaka, Bangladesh
Q1481451	London Underground station
Q1484825	Mexican Federal Legislature
Q1498406	manga series
Q1501784	elite military formation of the United States Army
Q1503216	nonprofit organization for the advancement of geoscience
Q1506552	university
Q1508430	Presidential library and museum for U.S. President George W. Bush, located in Dallas, Texas
Q1509669	association football team in Spain
Q1510516	university
Q1526515	association football club in Thailand
Q1529151	castle in Scotland, United Kingdom
Q1531570	aggregator of scientific data on biodiversity; data portal
Q1535996	political party
Q1537518	diocese of the Catholic Church
Q1542408	Second tallest skyscraper in Latin America
Q1544011	name of various French businesses of the film industry that were founded and originally run by the Pathé Brothers of France
Q1548691	municipality of Baja California, Mexico
Q1549932	public sector university primarily located in Lahore, Punjab, Pakistan
Q1550192	film school in Potsdam, Germany
Q1551179	Italian territorial abbey
Q1552757	university
Q1555938	region around the Earth's South Pole
Q1565131	badminton championships
Q1568028	rapid transit line of the Madrid Metro
Q1572865	Syntactically Awesome StyleSheets stylesheet language
Q1574111	journal
Q1576143	political party
Q1578082	political party
Q1580807	skyscraper in New York City
Q1585857	British soap opera
Q1598962	municipality of Spain
Q1600457	World War II civilian labour award of the Soviet Union
Q1605513	private college in Staten Island, New York, United States
Q1606574	municipality of Spain
Q1616611	municipality of Spain
Q1629768	television station
Q1639492	city (Municipal corporation) in East Godavari district, Andhra Pradesh, India
Q1656608	research university in eastern Idaho, USA
Q1660297	Russian airline
Q1661445	theatre in London
Q1666696	22nd rione of Rome, Italy
Q1667757	Historical Research Institute in Amsterdam
Q1684271	International multi-purpose stadium in India
Q1700481	art museum in Minneapolis, Minnesota
Q1700510	top prize at the Locarno International Film Festival
Q1707781	Japanese anime television series
Q1710776	commemorative medal of the Soviet Union
Q1711196	Chinese university
Q1715027	Azerbaijani cargo airline
