C0979237	oxytetracycline_125_mg_oral_capsule
C1439695	C1439695
C0975683	citalopram
C2938176	lidocaine_hydrochloride_0.02_mg_mg
C0520476	parainfluenza_virus_type_3
C2731839	short_ragweed_pollen_extract
C0225718	structure_of_anterior_segment_of_right_upper_lobe_of_lung
C1148005	C1148005
C0020235	hydrazone
C0004168	atlantoaxial_joint
C0692594	anastrozole
C1831315	C1831315
C3818337	C3818337
C4056356	C4056356
C0376604	chromaffin_cell
C0833263	C0833263
C0009081	clubfeet
C4048756	right_arm
C0017925	hers_dis
C2698308	b_cell_acute_lymphoblastic_leukemia_with_t_v_11q23___mll_rearranged
C2961080	C2961080
C3500334	C3500334
C0225356	myoepithelial_cell
C0694021	carbamazepine
C3169814	C3169814
C0012890	dna_pol_03
C0977210	C0977210
C0065649	manganese_sulfate
C0023238	legionella_pneumophila
C1185719	C1185719
C0550913	C0550913
C1541449	recurrent_grade_ii_lymphomatoid_granulomatosis
C0023749	linoleic_acid
C1708799	map2k1_wt_allele
C0979932	quinidine_sulfate_300_mg_oral_capsule
C0038356	gastric_neopl
C3654572	C3654572
C0925189	C0925189
C0816933	C0816933
C1585123	24_hr_dilt_180_mg_extended_release_oral_capsule
C3482494	C3482494
C0280790	adult_anaplastic_oligodendroglioma
C0977538	hydrochlorothiazide_triamterene
C0550118	C0550118
C2064409	intrahepatic_bile_duct_mucinous_cystic_neoplasm_with_an_associated_invasive_carcinoma
C0816947	C0816947
C1831332	C1831332
C0226601	structure_of_cerebellar_vein
C4019349	C4019349
C1976778	C1976778
C1977177	C1977177
C0226858	internal_carotid_venous_plexus
C3663315	C3663315
C0830318	C0830318
C1332261	paget_disease_of_anal_canal
C0800069	C0800069
C0973858	aluminum_hydroxide_400_mg___milk_of_magnesia_400_mg___simethicone_30_mg_chewable_tab
C0363758	C0363758
C4037149	C4037149
C1315059	C1315059
C1336098	ureter_cancer_stage_0
C0041956	occlusion_of_ureter
C0688093	calcifediol_20_mcg_oral_capsule
C3666229	C3666229
C1334036	hodgkin_like_post_transplant_lymphoproliferative_disorder
C1883268	taxane_pocket_binding_agent
C0304572	potassium_guaiacolsulfonate
C0687768	acetaminophen_codeine
C1335549	tyrosine_protein_kinase_receptor_tie_1
C3171898	C3171898
C0236521	neuronal_nuclear_type_1_antibody
C1513380	molecular_analysis
C3481863	C3481863
C3159379	C3159379
C0689087	apap_650_mg___hydrocodone_bitartrate_7.5_mg_oral_tablet
C0936223	prostate_cancer_metastatic
C1336708	germ_cell_tumor_of_testis
C0994672	C0994672
C2740621	ginger_allergenic_extract
C0819765	C0819765
C0071108	estropipate
C1419778	C1419778
C2736083	C2736083
C0027481	anf
C1335710	C1335710
C2948414	C2948414
C1833640	pax8_pparg_fusion_gene
C3833787	C3833787
C1953342	C1953342
C0036847	sesquiterpene
C1185766	C1185766
C0085104	drug_targeting
C0879866	C0879866
C2949241	chlorpheniramine_maleate_8_mg_8hr_extended_release_oral_tablet
C3709548	C3709548
C1135629	C1135629
C1335399	pharyngeal_adenoid_cystic_carcinoma
C0736533	C0736533
C2984492	tnf_receptor_family_signaling_pathway
C1314983	C1314983
C3871994	C3871994
C0143083	somatrem
C3897520	C3897520
C3833235	chondrus_crispus_carrageenan
C0233514	problem_behavior
C0226428	structure_of_right_ulnar_artery
C1445185	chicken_feather_extract
C4059799	C4059799
C1334183	central_nervous_system_inflammatory_myofibroblastic_tumor
C3714989	vancomycin_25_mg_ml_oral_suspension
C0072238	propylparaben
C1099456	escitalopram
C3482895	C3482895
C0013589	ectromelia
C3817702	C3817702
C3262910	C3262910
C3534530	C3534530
C1524458	C1524458
C0224895	structure_of_vincula_tendinum_of_tendons_of_fingers
C0974389	ampicillin_100_mg_ml_oral_suspension
C1334006	high_grade_mucoepidermoid_carcinoma_of_breast
C0925380	C0925380
C1524280	C1524280
C0739969	C0739969
C0800957	C0800957
C4069703	C4069703
C0709710	theovent_125_mg_extended_release_oral_capsule
C0548934	C0548934
C1332477	benign_breast_adenomyoepithelioma
C0016368	fluphenazine
C2751878	hadziselimovic_syndrome
C1332399	bcl6_gene
C0005684	bladder_cancer
C1517110	fallopian_tube_adenomatoid_tumor
C0736402	C0736402
C3217869	pseudoephedrine___triprolidine_pill
C0974805	beclomethasone_dipropionate_84_mcg_actuat_metered_dose_inhaler__120_actuat
C2706837	C2706837
C0927983	C0927983
C2724580	risedronate_sodium_35_mg__12__oral_tablet_pack
C0006222	bromide
C3219023	minocycline_oral_product
C4069922	C4069922
C2706840	C2706840
C0007770	cerebral_artery
C3153770	duexis_800_mg___26.6_mg_oral_tablet
C1846058	mrxsl
C0006681	calcium_carbonate
C0026516	mood
C1517969	loss_of_chromosome_18q
C0280407	stage_ii_nasal_cavity_and_paranasal_sinus_squamous_cell_carcinoma
C2961872	C2961872
C0803008	C0803008
C0013312	dupuytren_s_contracture
C0005037	benzene_derivatives
C1511267	borderline_ovarian_serous_cystadenofibroma
C0206732	epithelioid_hemangioendothelioma
C4070619	C4070619
C0222613	lactiferous_duct_structure
C3817925	C3817925
C0367735	C0367735
C1181556	C1181556
C0705408	salicylic_acid
C0221290	chondromyxoid_fibroma
C1260964	eccrine_ductal_carcinoma
C3693070	C3693070
C0015506	factor_8
C1996444	C1996444
C0700543	mesoridazine_besylate
C0040778	tranylcypromine
C1334467	lymphoplasmacytic_infiltrate
C1512116	egfr_gene_amplification
C4080630	C4080630
C0334329	macrofollicular_adenoma
C4027117	C4027117
C3488332	bryonia_alba_root_extract
C0037521	sodium_iodide
C3666131	C3666131
C1414529	fancc_gene
C3153713	adenovirus_vaccine
C2345347	clinimix_e_2.75_5
C0085113	nf1_gene
C2332640	C2332640
C1704632	disease_response
C0819164	C0819164
C1591082	sk_120000_unt_ml_injectable_solution
C1708289	C1708289
C3484372	C3484372
C0798987	C0798987
C0229797	structure_of_right_colic_lymph_node
C3486510	C3486510
C4074106	C4074106
C3151433	C3151433
C0981984	trichophyton_mentagrophytes_allergenic_extract
C0980075	salicylic_acid
C0977566	guaifenesin_40_mg_ml___hydrocodone_bitartrate_1_mg_ml___pseudoephedrine_hydrochloride_12_mg_ml_oral_solution
C0946296	powassan_virus_igm
C0019478	hexosamine
C0973654	C0973654
C0978364	meclizine
C1266173	chondroid_chordoma
C2970072	C2970072
C3528596	C3528596
C3465037	C3465037
C1169939	ovace_plus_10___topical_wash
C0692629	glimepiride
C1333503	extrahepatic_bile_duct_carcinoid_tumor
C0147866	uranine
C3482544	C3482544
C1114450	C1114450
C2109334	vulvar_keratinizing_squamous_cell_carcinoma
C1545180	C1545180
C1526755	C1526755
C1333855	grade_3_colon_adenocarcinoma
C0503577	C0503577
C1247720	propranolol_extended_release_oral_capsule
C0709787	24_hr_dilacor_240_mg_extended_release_oral_capsule
C1147182	C1147182
C0229078	structure_of_equator_of_eyeball
C0728803	crospovidone
C0975480	cevimeline
C1272249	molecular_genetics_procedure
C1184641	C1184641
C0482569	C0482569
C0230421	structure_of_anterior_surface_of_thigh
C0025417	hgcl2
C0363632	C0363632
C3654957	C3654957
C0015109	ethylmorphine
C0980226	sodium_chloride
C4050584	toronto_extremity_salvage_score__upper_extremity
C0023142	1_dodecanol
C1850049	C1850049
C1305856	C1305856
C4070728	C4070728
C1336442	stage_iv_medullary_carcinoma_of_the_thyroid_gland
C1334683	mediastinal_yolk_sac_tumor
C0055749	mercuric_sulfide
C0037956	spiperone
C0925065	C0925065
C0033442	propanolamine
C4018371	C4018371
C1316996	C1316996
C2701725	morus_alba_pollen
C0192674	C0192674
C0223222	structure_of_arch_of_second_thoracic_vertebra
C0007876	c_section__ob_
C0979189	oxtriphylline_200_mg_delayed_release_oral_tablet
C3818466	C3818466
C0024467	magnesium
C0689706	nadolol
C0830323	C0830323
C1151148	C1151148
C0590811	topiramate
C1413146	C1413146
C4081314	C4081314
C0818637	C0818637
C4056167	C4056167
C3700770	C3700770
C1877198	aspirin_citric_acid_sodium_bicarbonate
C4069693	C4069693
C0501822	C0501822
C1334547	major_salivary_gland_adenocarcinoma
C0923812	C0923812
C1184623	C1184623
C4021803	C4021803
C0835205	C0835205
C4046169	technivie_12.5_mg___75_mg___50_mg_oral_tablet
C0427978	mic
C0163557	moxidectin
C0926970	C0926970
C3818052	C3818052
C3667750	absorbine_6.5___medicated_patch
C2741523	flaxseed_allergenic_extract
C1507634	C1507634
C0037930	neopl_spinal_cord
C2718386	influenza_b_virus_vaccine_b_brisbane_60_2008_antigen
C2750785	mdcl
C3864620	C3864620
C0546264	cftdm
C3169247	C3169247
C0690860	tacrolimus
C0015930	fetal_distress
C0975329	cefadroxil
C1315057	C1315057
C1659376	C1659376
C4019130	C4019130
C4056265	C4056265
C3555453	C3555453
C3700650	C3700650
C2948520	C2948520
C2007076	liver_carcinosarcoma
C1706726	adrenal_cortex_adenomatoid_tumor
C0927137	C0927137
C2940552	C2940552
C0482275	C0482275
C3485261	C3485261
C1335183	ovarian_surface_papilloma
C1875801	C1875801
C3654666	C3654666
C1707262	capillary_sized_vascular_channel_formation
C1544256	C1544256
C0226799	structure_of_dorsal_metacarpal_vein
C0225177	structure_of_ligament_of_tarsometatarsal_joint
C0817283	C0817283
C4073863	C4073863
C3486845	porcine_thymus_preparation
C0252642	mlh1_protein__human
C0020438	hypercalciuria
C1336829	tuberculum_sellae_meningioma
C0976742	estradiol
C3245316	testosterone
C0507383	C0507383
C1517773	leucine_rich_repeat
C0693300	acitretin
C3260997	C3260997
C1336339	stage_iva_hepatocellular_carcinoma_ajcc_v7
C0364239	C0364239
C4033002	C4033002
C0797386	C0797386
C0820032	C0820032
C0982935	acetaminophen_160_mg
C1256751	cytochrome_b_group
C0803132	C0803132
C1850053	leukodystrophy__hypomyelinating__3
C1179748	C1179748
C2948510	benzocaine_5_____allantoin_1___topical_ointment
C0980803	tretinoin
C1612954	iron
C1316833	C1316833
C0598436	mestranol___norethindrone
C0043193	wisconsin
C3474151	C3474151
C0690121	prednisone
C1977597	C1977597
C4019753	C4019753
C0976466	disopyramide
C2364829	cardene_20_mg_in_200_ml_injection
C1373108	unknown_cellular_or_molecular_interaction
C0736258	lung_surface
C3465000	C3465000
C0226394	structure_of_perineal_artery
C0004574	babesia_microti
C1332190	adult_brain_oligodendroglioma
C3172853	C3172853
C0945336	C0945336
C0363092	C0363092
C0775250	levothyroxine
C2611934	C2611934
C2746499	hydromorphone
C0982960	acetaminophen_650_mg
C1543509	C1543509
C1507902	C1507902
C1316854	C1316854
C0224947	tendon_structure_of_anterior_tibial_muscle
C3488243	C3488243
C1261210	reproductive_system
C0503201	C0503201
C3899676	C3899676
C1507234	C1507234
C0006434	burn
C0262584	small_cell_carcinoma
C0819957	C0819957
C0015644	fasciculation
C3163598	dimethicone_4___topical_cream
C0034848	virus_receptor
C3211469	phenolphthalein_oral_product
C2000212	pdk1_protein__human
C1317250	collection_date
C0007708	centriole
C0816120	C0816120
C3256806	silica_dimethyl_silylate
C0504042	C0504042
C1335139	adenoid_cystic_carcinoma_of_oropharynx
C1183952	C1183952
C0819773	C0819773
C1439550	C1439550
C1176306	aprepitant
C2955539	drospirenone_ethinyl_estradiol_levomefolate
C3489291	C3489291
C1873974	acetaminophen___chlorpheniramine___pseudoephedrine
C0226715	structure_of_arcuate_vein_of_kidney
C2611973	C2611973
C0022028	iopanoic_acid
C1315931	C1315931
C3272820	ulcerative_colitis_associated_colorectal_adenocarcinoma
C0690489	theophylline_250_mg_oral_tablet
C0020964	immunity
C1816397	C1816397
C3871908	C3871908
C1292123	hematopoietic_system_finding
C0994741	C0994741
C0713777	lortab_10_mg___500_mg_oral_tablet
C0030471	nasal_sinuses
C1831388	C1831388
C0736858	C0736858
C0627405	diisopropyl_adipate
C3666908	cyclophosphamide
C0810143	C0810143
C0796237	mrx30
C2736216	C2736216
C0038321	heterocyclic_steroids
C0738453	C0738453
C0003018	angiotensin
C1698162	3_7_11_15_tetramethyl_1_2_3_hexadecanetriol
C2609585	morphine
C0961781	spinosad
C1367111	accessory_thyroid
C0017955	glycophorin_a
C3699035	C3699035
C0229512	structure_of_helicotrema
C0686083	small_intestine_carcinoma_stage_0
C1525498	C1525498
C0003620	anorectic
C1334232	intestinal_gangliocytic_paraganglioma
C0810173	C0810173
C0552379	collection_time
C1127261	guaifenesin_13.3_mg_ml
C3809013	C3809013
C0206250	autonomic_nerve
C0804646	C0804646
C1183827	C1183827
C0829640	C0829640
C0555881	arnica_extract
C1179586	C1179586
C3663704	C3663704
C0280397	stage_iii_laryngeal_squamous_cell_carcinoma_ajcc_v6_and_v7
C0151662	gamma_glutamyl_transferase_raised
C0736452	surface_of_uterus
C0432443	18q__syndrome
C0003920	artificial_sweetener
C0042360	vas_deferens
C0505090	C0505090
C2926692	simcor_500_40_24_hr_extended_release_oral_tablet
C3504635	camphor_1.48_____capsaicin_0.0056_____menthol_3.95_____methyl_salicylate_3.95_____peppermint_oil_1.95_____zinc_oxide_18.77___medicated_pad
C1316890	C1316890
C1977338	C1977338
C0225928	structure_of_leaflet_of_tricuspid_valve
C3205624	C3205624
C3530868	camphor_7.79___topical_solution
C0503568	C0503568
C0363629	C0363629
C2713194	C2713194
C0280363	recurrent_lip_and_oral_cavity_squamous_cell_carcinoma
C3654651	C3654651
C1186672	C1186672
C1182616	C1182616
C0027651	neoplasm
C1514731	ras_signaling_pathway
C1441659	C1441659
C0008479	chondrosarcoma
C2361399	C2361399
C0014038	encephalitis
C0935162	C0935162
C0979701	povidone_iodine
C0042435	vecuronium_bromide
C0855142	nodal_marginal_zone_b_cell_lymphoma_stage_i
C3700769	C3700769
C3818644	C3818644
C3547374	C3547374
C1182967	C1182967
C0804725	C0804725
C1183751	C1183751
C4033220	C4033220
C0946119	C0946119
C0501511	C0501511
C3667513	C3667513
C1334713	metastatic_bone_ewing_sarcoma
C2948830	asian_ginseng
C3859188	C3859188
C0975180	calcium_gluconate_488_mg_oral_tablet
C0994642	C0994642
C1977212	C1977212
C3244072	C3244072
C2984110	oropharyngeal_carcinoma_by_ajcc_v7_stage
C1848488	heterozygous_osmed
C2756979	C2756979
C1179689	C1179689
C0020898	illinois
C3486347	C3486347
C1705090	cd3e_wt_allele
C0008328	cholecystokinin
C0979575	electrolytes
C3654928	C3654928
C1512323	fgf4_gene_amplification
C1148048	C1148048
C2341697	oxymorphone
C0003606	aporphines
C1524731	C1524731
C0978988	24_hr_adalat_60_mg_extended_release_oral_tablet
C0507389	C0507389
C0007854	cervical_plexus
C3857517	C3857517
C4046503	C4046503
C1332994	childhood_parosteal_osteosarcoma
C0855002	lung_carcinoma_cell_type_unspecified_recurrent
C0927519	C0927519
C0033448	propantheline_bromide
C4073825	C4073825
C0388753	tolterodine
C1704613	C1704613
C0224885	structure_of_flexor_carpi_radialis_muscle_tendon_sheath
C1251914	dimethicone_topical_lotion
C3152724	C3152724
C0028017	niclosamide
C0020242	hydrocarbon
C1182942	C1182942
C0002992	angiomatosis
C3643025	C3643025
C2346031	alanine_5.7_mg_ml___arginine_2.85_mg_ml___dibasic_k__phosphate_2.61_mg_ml___glucose_100_mg_ml___glycine_5.7_mg_ml___histidine_1.2_mg_ml___isoleucine_1.32_mg_ml___leucine_1.7_mg_ml___lysine_1.59_mg_ml___magnesium_chloride_0.01_meq_ml___methionine_1.59_mg_ml___phenylalanine_1.7_mg_ml___proline_1.15_mg_ml___sodium_acetate_0.03_meq_ml___nacl_0.02_meq_ml___threonine_1.15_mg_ml___tryptophan_0.5_mg_ml___tyrosine_0.11_mg_ml___valine_1.26_mg_ml_injectable_solution
C3665109	C3665109
C0043368	xylenes
C0523173	organism_specific_culture
C1334324	kinase_family_gene
C0780878	potassium_iodide
C4069626	C4069626
C0224969	structure_of_fibrous_sheath_within_toe
C3209505	bromelains_oral_product
C0688782	estazolam
C1815010	carvedilol_phosphate
C1176477	ergocalciferol
C2708352	C2708352
C2984364	cd40_cd40l_signaling_pathway
C0357126	epoetin_alfa
C3887549	la_crosse_virus_igg
C1813808	menthol_6_____methyl_salicylate_14___topical_ointment
C1366910	C1366910
C1368816	sebaceous_adenoma
C2937905	menthol
C4046413	C4046413
C3655161	C3655161
C0708653	nitroquick_0.3_mg_sublingual_tablet
C1977669	C1977669
C1114881	C1114881
C0362640	C0362640
C0700607	digoxin_antibodies_fab_fragments
C0016360	fluorouracil
C0008203	chloride
C2676759	proc_deficiency__autosomal_recessive
C3641826	strongly_disagree
C0042963	vomiting
C3262201	C3262201
C3887736	doxycycline
C0690610	trazodone
C1601701	chlorpheniramine_tannate_12_mg_oral_tablet
C3483639	C3483639
C3693130	C3693130
C0883092	biopsy_guidance
C3504718	C3504718
C3848448	C3848448
C0206494	selenium_cpds
C0978512	methamphetamine_hcl_15_mg_extended_release_oral_tablet
C0724560	colloidal_oatmeal
C0033575	prostatic_dis
C0807679	C0807679
C0057919	diethanolamine
C3172334	C3172334
C1644147	C1644147
C0443147	autosomal_dominant_inheritance
C0798409	C0798409
C3174180	C3174180
C0737622	C0737622
C0019592	h1_recept_block
C0699710	premarin
C0717057	chlorpheniramine_maleate_12_mg___phenylpropanolamine_hcl_75_mg_12_hr_extended_release_oral_capsule
C0004572	babesia
C0976836	eucalyptus_oil_menthol
C1518629	osteoclast_like_giant_cell
C1849437	conorenal_syndrome
C1174318	bmi1_kinase__human
C0940225	C0940225
C0007560	ceftizoxime
C1336273	C1336273
C1299582	unable
C0920892	C0920892
C3813540	pineapple_extract
C1709867	rectosigmoid_mucinous_adenocarcinoma
C1524328	C1524328
C0978584	methylphenidate
C0348037	francisella_tularensis_antibody
C3273139	extrahepatic_bile_duct_neuroendocrine_tumor
C0023875	lithocholic_acid
C2982886	newborn_screening_terminology
C0810024	C0810024
C3272831	colorectal_sarcoma
C2926180	C2926180
C0230137	structure_of_thoracic_inlet
C0280349	stage_ii_lip_basal_cell_carcinoma
C0819739	C0819739
C0153775	hodgkin_s_disease_mixed_cellularity_stage_iii
C1879045	mineral_oil_42.5_____petrolatum_56.8___ophthalmic_ointment
C1332895	central_nervous_system_teratoma
C4074038	C4074038
C0026603	motion_sickness
C1519923	vaginal_mesonephric_adenocarcinoma
C3504667	C3504667
C0446419	level_of_the_first_thoracic_vertebra
C0007684	cns_infect
C0975241	carbamazepine
C0700465	propafenone_hydrochloride
C0020283	ph
C1517175	fibroblast_growth_factor_2_overexpression
C3857639	C3857639
C0534281	vpac1_protein__human
C0031048	constrictive_pericarditis
C0933549	C0933549
C0024204	lymph_node
C0503113	C0503113
C4080551	quillichew_30_mg_chewable_extended_release_oral_tablet__24hr
C2940270	dextromethorphan_hydrobromide_1_mg_ml
C1182496	C1182496
C0227364	omental_appendix
C0017479	germanium
C0804741	C0804741
C3255667	epilobium_angustifolium_flowering_top_extract
C0751303	cerebral_convexity_meningioma
C2370259	glucerna
C0976680	epinephrine
C0398691	hyper_igd_syndrome
C0973835	C0973835
C0334227	tumor_cells__malignant
C0804586	C0804586
C1882972	low_grade_salivary_duct_carcinoma
C3700796	C3700796
C4069712	C4069712
C3496245	C3496245
C1161580	amylase_20000_unt___lipase_4500_unt___protease_25000_unt_delayed_release_oral_capsule
C1834690	kugelberg_welander_syndrome__autosomal_dominant
C0019763	hla_dra
C0223327	structure_of_arch_of_ninth_thoracic_vertebra
C0994455	C0994455
C1853120	noonan_syndrome_4
C0798961	C0798961
C0689545	methoxsalen_10_mg_oral_capsule
C1698462	menthol_2.5_mg_oral_lozenge
C4048660	gemcitabine_2_gm_injection
C1709540	pilar_leiomyoma
C3666224	C3666224
C1815713	boost
C3173181	C3173181
C0943189	C0943189
C1371199	pyridoxine_25_mg
C1591652	trimethoprim
C1544243	C1544243
C1836841	ceroid_lipofuscinosis__neuronal_9
C1439751	C1439751
C3699022	C3699022
C0735070	C0735070
C3848129	dulcogas_125_mg_chewable_tablet
C3500279	C3500279
C4027152	C4027152
C2598342	C2598342
C4058181	C4058181
C3662963	C3662963
C3654274	C3654274
C3871946	C3871946
C0855138	mantle_cell_lymphoma_refractory
C3817601	C3817601
C1525275	C1525275
C0227040	C0227040
C3258919	C3258919
C1377604	childhood_central_nervous_system_choriocarcinoma
C0976519	dofetilide
C0013604	edema
C2735293	C2735293
C1101610	mirna
C0220787	endotracheal_aspiration
C3848153	C3848153
C3172193	C3172193
C4069670	C4069670
C1377918	stage_iii_carcinoma_of_nasopharynx_ajcc_v6
C3483089	C3483089
C0597277	potassium_ion
C3282836	C3282836
C0485777	C0485777
C2745970	chlorpheniramine_pseudoephedrine
C0975952	cromolyn
C0549898	C0549898
C3667426	C3667426
C0991655	C0991655
C1625212	C1625212
C3853847	dry_powder_inhaler
C1335753	renal_vein_leiomyosarcoma
C1420713	C1420713
C1180622	C1180622
C2723286	metoprolol
C1372821	C1372821
C2926224	C2926224
C0034896	rectum
C0363726	C0363726
C0035460	vasomotor_rhinitis
C1814367	multivitamin_herbal
C3654555	C3654555
C0234132	pyramidal_sign
C1261761	structure_of_ciliary_processes
C1882991	secretory_adenocarcinoma_cell
C0192601	small_intestine_excision
C1367861	basal_cell_carcinoma__micronodular
C0736134	anterior_wall_of_fundus_of_stomach
C2609939	cyclosporine
C3654963	C3654963
C0855100	b_cell_small_lymphocytic_lymphoma_stage_iii
C0229329	structure_of_intrinsic_auricular_muscle
C0446417	level_of_the_seventh_cervical_vertebra
C1316352	C1316352
C0014810	erythromycin_ethylsuccinate
C0230424	structure_of_lateral_surface_of_thigh
C0363656	C0363656
C1631597	catecholaminergic_polymorphic_ventricular_tachycardia
C1706823	antigen_sensitization
C1862472	oculomelic_amyoplasia
C3667461	C3667461
C1706827	apocrine_carcinoma
C1184460	C1184460
C3535363	C3535363
C3641608	definitely_disagree
C0981166	zaleplon
C3481864	C3481864
C0225148	structure_of_anterior_tibiofibular_ligament
C0003376	antimetabolite
C3172063	C3172063
C0689615	mexiletine
C2678408	pituitary_hormone_deficiency__combined__4
C3848147	C3848147
C3488642	C3488642
C0710045	restoril_15_mg_oral_capsule
C1874247	topical_anti_infective_agent
C2947507	ethanol_62___medicated_pad
C1543984	C1543984
C1329804	24_hr_cardizem_300_mg_extended_release_oral_tablet
C1710372	terminology_subset
C0881952	C0881952
C2930042	aluminum_magnesium_hydroxide
C1442351	C1442351
C0406709	hay_wells_syndrome
C0010414	cryptococcosis
C3488686	solidago_virgaurea_flowering_top_extract
C0976121	dexamethasone
C3261311	C3261311
C4014869	lipe_related_familial_partial_lipodystrophy
C0525411	mct_proteins
C1413580	col2a1_gene
C0031855	phytic_acid
C2984081	very_much
C3654429	C3654429
C0798174	C0798174
C0810353	C0810353
C0822117	C0822117
C1875526	nepro
C0991648	bupivacaine_hcl_0.25_____epinephrine_1_200_000_injectable_solution
C0363549	C0363549
C1516895	enzyme_replacement_or_supplement_agent
C0939949	greater_curvature_of_antrum_of_stomach
C1954996	C1954996
C0227261	small_intestine_mucous_membrane_structure
C3644279	C3644279
C3154826	C3154826
C1334447	leiomyoma_of_lung
C0488703	C0488703
C1524894	C1524894
C1877684	C1877684
C0013453	outer_ear
C3255809	sodium_starch_glycolate_type_b_potato
C0981659	prochlorperazine_10_mg_oral_capsule
C1332900	cerebellar_hemangioblastoma
C0229784	structure_of_pancreaticoduodenal_lymph_node
C3655080	C3655080
C4014722	sting_associated_vasculopathy_with_onset_in_infancy
C0446420	level_of_the_second_thoracic_vertebra
C0036025	saccharomyces_cerevisiae
C3481972	C3481972
C3654583	C3654583
C0041442	tylosin_tartrate
C0034193	pyloric_antrum
C0879942	C0879942
C0818625	C0818625
C3856114	C3856114
C0881729	C0881729
C0278681	metastatic_parathyroid_gland_carcinoma
C3655015	C3655015
C3555156	C3555156
C0014241	endoribonuclease
C3257680	C3257680
C0941685	C0941685
C4069708	C4069708
C0935230	C0935230
C1257987	glitazones
C0834763	C0834763
C0771939	capsella_bursa_pastoris_extract
C2736218	C2736218
C3207399	amphetamine___dextroamphetamine_pill
C1709872	recurrent_adrenal_gland_pheochromocytoma
C0037268	abnorm_skin
C0827067	C0827067
C0015837	fenoprofen
C1831397	C1831397
C3667463	C3667463
C4058663	C4058663
C0228913	structure_of_obturator_nerve_anterior_branch
C0037287	skin_nodule
C0229876	structure_of_tonsillar_crypt
C0941804	C0941804
C0029134	optic_neuritis
C1261076	structure_of_upper_lobe_of_left_lung
C1657054	monobasic_sodium_phosphate_dihydrate
C1635009	C1635009
C3667431	C3667431
C0542998	azithromycin
C1179778	C1179778
C3695717	C3695717
C0688949	furosemide
C1815885	ketorolac_tromethamine_15_mg_in_1_ml_prefilled_syringe
C3484528	caulophyllum_thalictroides_root_extract
C0688460	dapsone
C0488481	C0488481
C3194649	C3194649
C0334524	mixed_germ_cell_tumor
C0804142	C0804142
C3279699	encephalocardiomyopathy__mitochondrial__neonatal__due_to_atp_synthase_deficiency
C0798417	C0798417
C0030943	initiation_factor
C1185709	C1185709
C0936207	bumetanide_0.25_mg_ml_injectable_solution
C1877848	somatropin
C1371459	C1371459
C4073860	C4073860
C0008114	chin
C0228816	structure_of_posterior_ramus_of_cervical_spinal_nerve
C1515754	t_2_18__p12_q21_
C0008846	prilocaine_hydrochloride
C0064007	isometheptene
C0053774	bisabolol
C4073869	C4073869
C3528904	C3528904
C0222435	subcutaneous_tissue_structure_of_abdomen
C0974843	bendroflumethiazide_5_mg_extended_release_oral_tablet
C2735307	C2735307
C1305968	eccrine_dermal_cylindroma
C3883036	ritalin_la_60_mg_24hr_extended_release_oral_capsule
C0043791	diacylglycerol
C1979910	C1979910
C0008779	ciliary_body
C1814286	benzoyl_peroxide
C1831037	C1831037
C0001413	adenine_nucleotide
C0369047	C0369047
C0018991	hemiplegia
C1114648	C1114648
C0817736	C0817736
C0393808	cmtx1
C0823512	C0823512
C2734084	C2734084
C0225918	structure_of_left_anterior_division_of_left_branch_of_atrioventricular_bundle
C0342770	fumarase_deficiency
C3848049	C3848049
C0162674	progressive_external_ophthalmoplegia
C0506212	C0506212
C3654477	C3654477
C0065374	lisinopril
C0031691	enolase
C3666080	C3666080
C0482504	C0482504
C1515862	prostate_acinar_adenocarcinoma__atrophic_variant
C4014962	C4014962
C0038034	sporotrichosis
C4073965	C4073965
C3262959	C3262959
C3255999	hydroxyethyl_cellulose__4000_cps_at_1__
C0368386	C0368386
C0507888	C0507888
C1185592	C1185592
C0526737	myristyl_lactate
C0053296	benzyl_salicylate
C3157135	C3157135
C2752008	spastic_paraplegia_50__autosomal_recessive
C0551124	C0551124
C0229055	structure_of_vesical_plexus
C0028783	obturator_nerve
C3500681	C3500681
C1977171	C1977171
C0934875	C0934875
C1329879	metadate_cd_10_mg_24hr_extended_release_oral_capsule
C0034235	pyrantel
C1831538	C1831538
C4026913	C4026913
C1334380	lateral_ventricle_meningioma
C2747605	orange_pekoe_tea_allergenic_extract
C3663178	C3663178
C0004057	aspirin
C1184389	C1184389
C1860808	triosephosphate_isomerase_deficiency
C1518249	nerve_tissue_and_nerve_sheaths
C0439240	unit_of_volume
C0974330	amoxicillin_clavulanate
C1114620	C1114620
C0389003	cyclooxygenase_1
C0736144	C0736144
C0214222	nf_kappa_b_p65
C0305302	C0305302
C1179919	lumen_of_the_endosome
C2323843	C2323843
C3818140	C3818140
C3151069	C3151069
C3897528	C3897528
C0692836	potassium_citrate
C0976727	erythromycin_estolate_125_mg_chewable_tablet
C0875778	temodar_100_mg_oral_capsule
C0021061	immunol_test
C1720923	cyclohexenes
C0982121	diltiazem_maleate
C2722026	asparagus_allergenic_extract
C0800273	C0800273
C0692360	cimetidine_100_mg_oral_tablet
C2920421	1_ml_ms_2_mg_ml_prefilled_syringe
C0816932	C0816932
C0225492	structure_of_superior_wall_of_nasopharynx
C3820780	C3820780
C0506778	C0506778
C3213569	meclizine_oral_product
C0060507	fluocinolone
C0030193	pain
C2355841	hepatitis_a_vaccine__inactivated__strain_hm175
